LEAGUE	Player	win%	O/U	line #	stat	win:lose ratio
NBA	Torrey Craig	0.7435897435897436	UNDER	12.5	pts+ast	2.9000000000000004
NBA	Quentin Grimes	0.7428571428571429	UNDER	17.5	pts+ast	2.8888888888888893
NBA	Obi Toppin	0.7424242424242424	UNDER	0.5	stl	2.8823529411764706
NBA	JT Thor	0.7352941176470589	UNDER	0.5	stl	2.777777777777778
NBA	Jalen Green	0.7333333333333333	UNDER	4.5	ast	2.75
NBA	Jarrett Allen	0.7313432835820896	OVER	11.5	pts	2.7222222222222223
NBA	Austin Reaves	0.7301587301587301	UNDER	20.5	pts+trb	2.7058823529411766
NBA	Austin Reaves	0.6666666666666666	UNDER	8	trb+ast	2.625
NBA	Kris Dunn	0.6190476190476191	UNDER	6	trb	2.6
NBA	Russell Westbrook	0.7222222222222222	UNDER	15.5	pts	2.5999999999999996
NBA	Cory Joseph	0.7213114754098361	UNDER	10.5	pts	2.588235294117647
NBA	Cory Joseph	0.7213114754098361	UNDER	14.5	pts+ast	2.588235294117647
NBA	JT Thor	0.7205882352941176	UNDER	0.5	blk	2.5789473684210527
NBA	Killian Hayes	0.72	UNDER	17.5	pts+trb	2.571428571428571
NBA	Killian Hayes	0.72	UNDER	24.5	pts+trb+ast	2.571428571428571
NBA	Torrey Craig	0.717948717948718	UNDER	8.5	trb+ast	2.5454545454545454
NBA	Alperen Sengun	0.7162162162162162	UNDER	31.5	pts+trb+ast	2.523809523809524
NBA	Brandon Ingram	0.5681818181818182	UNDER	6	trb	2.5000000000000004
NBA	Mike Conley	0.7142857142857143	UNDER	1.5	tov	2.5
NBA	Quentin Grimes	0.7142857142857143	UNDER	2.5	ast	2.5
NBA	Corey Kispert	0.7123287671232876	UNDER	3.5	trb	2.4761904761904763
NBA	Jalen Duren	0.7121212121212122	UNDER	24.5	pts+trb+ast	2.473684210526316
NBA	Jalen Duren	0.7121212121212122	UNDER	1.5	tov	2.473684210526316
